Ano,Pocision,Indicador
2016,26.0,TASA DE COBERTURA EN EDUCACIÓN SUPERIOR
2017,26.0,TASA DE COBERTURA EN EDUCACIÓN SUPERIOR
2018,24.0,TASA DE COBERTURA EN EDUCACIÓN SUPERIOR
2019,22.0,TASA DE COBERTURA EN EDUCACIÓN SUPERIOR
2020,25.0,TASA DE COBERTURA EN EDUCACIÓN SUPERIOR
2021,25.0,TASA DE COBERTURA EN EDUCACIÓN SUPERIOR
2022,23.66666666666663,Prediccion
2023,23.380952380952294,Prediccion
2024,23.095238095238074,Prediccion
2025,22.80952380952374,Prediccion
