ano,Series encadenadas de volumen con año de referencia
2005,10343.08231601237
2006,10794.849129815208
2007,11699.868832466289
2008,11089.091988805214
2009,11377.390547613604
2010,11607.732179651237
2011,11546.80310278967
2012,12683.650512523787
2013,13141.361626508242
2014,13683.779018080728
2015,13656.567300133398
2016,13731.403833371107
2017,13920.294746264999
2018,14195.537270490544
2019,14774.33245866878
2020,13873.418803630597
2021,15240.3328780442
