ano,posicion,indicador
2016,20.0,ÍNDICE DE APERTURA DE NEGOCIO
2017,20.0,ÍNDICE DE APERTURA DE NEGOCIO
2018,17.0,ÍNDICE DE APERTURA DE NEGOCIO
2019,17.0,ÍNDICE DE APERTURA DE NEGOCIO
2020,17.0,ÍNDICE DE APERTURA DE NEGOCIO
2021,17.0,ÍNDICE DE APERTURA DE NEGOCIO
2022,15.599999999999909,prediccion
2023,14.914285714285597,prediccion
2024,14.228571428571286,prediccion
2025,13.542857142856974,prediccion
