ano,posicion,indicador
2016,19.0,REGISTROS DE SOFTWARE
2017,19.0,REGISTROS DE SOFTWARE
2018,21.0,REGISTROS DE SOFTWARE
2019,19.0,REGISTROS DE SOFTWARE
2020,19.0,REGISTROS DE SOFTWARE
2021,20.0,REGISTROS DE SOFTWARE
2022,19.80000000000001,prediccion
2023,19.8857142857143,prediccion
2024,19.97142857142859,prediccion
2025,20.05714285714288,prediccion
