ano,posicion,indicador
2016,15.0,VENTAS POR INNOVAR
2017,15.0,VENTAS POR INNOVAR
2018,17.0,VENTAS POR INNOVAR
2019,19.0,VENTAS POR INNOVAR
2020,19.0,VENTAS POR INNOVAR
2021,19.0,VENTAS POR INNOVAR
2022,20.73333333333335,prediccion
2023,21.70476190476188,prediccion
2024,22.676190476190413,prediccion
2025,23.647619047618946,prediccion
