Ano,Pocision,Indicador
2016,19.0,COMERCIO Y COMPETENCIA
2017,19.0,COMERCIO Y COMPETENCIA
2018,16.0,COMERCIO Y COMPETENCIA
2019,15.0,COMERCIO Y COMPETENCIA
2020,16.0,COMERCIO Y COMPETENCIA
2021,18.0,COMERCIO Y COMPETENCIA
2022,15.666666666666629,Prediccion
2023,15.238095238095184,Prediccion
2024,14.809523809523853,Prediccion
2025,14.380952380952408,Prediccion
