ano,posicion,indicador
2016,8.0,CREACIÓN DE CONOCIMIENTO
2017,8.0,CREACIÓN DE CONOCIMIENTO
2018,17.0,CREACIÓN DE CONOCIMIENTO
2019,16.0,CREACIÓN DE CONOCIMIENTO
2020,18.0,CREACIÓN DE CONOCIMIENTO
2021,20.0,CREACIÓN DE CONOCIMIENTO
2022,23.399999999999636,prediccion
2023,25.942857142857065,prediccion
2024,28.485714285714494,prediccion
2025,31.028571428571013,prediccion
