Ano,Pocision,Indicador
2016,22.0,CREATIVIDAD EN LÍNEA
2017,22.0,CREATIVIDAD EN LÍNEA
2018,23.0,CREATIVIDAD EN LÍNEA
2019,23.0,CREATIVIDAD EN LÍNEA
2020,22.0,CREATIVIDAD EN LÍNEA
2021,24.0,CREATIVIDAD EN LÍNEA
2022,23.66666666666663,Prediccion
2023,23.952380952380963,Prediccion
2024,24.238095238095184,Prediccion
2025,24.52380952380952,Prediccion
