Ano,Pocision,Indicador
2016,27.0,SOSTENIBILIDAD ECOLÓGICA
2017,30.0,SOSTENIBILIDAD ECOLÓGICA
2018,28.0,SOSTENIBILIDAD ECOLÓGICA
2019,32.0,SOSTENIBILIDAD ECOLÓGICA
2020,27.0,SOSTENIBILIDAD ECOLÓGICA
2021,23.0,SOSTENIBILIDAD ECOLÓGICA
2022,25.333333333333258,Prediccion
2023,24.61904761904748,Prediccion
2024,23.9047619047617,Prediccion
2025,23.19047619047592,Prediccion
