AREAGEOGRAFICA,Hombres_0,Hombres_1,Hombres_2,Hombres_3,Hombres_4,Hombres_5,Hombres_6,Hombres_7,Hombres_8,Hombres_9,Hombres_10,Hombres_11,Hombres_12,Hombres_13,Hombres_14,Hombres_15,Hombres_16,Hombres_17,Hombres_18,Hombres_19,Hombres_20,Hombres_21,Hombres_22,Hombres_23,Hombres_24,Hombres_25,Hombres_26,Hombres_27,Hombres_28,Hombres_29,Hombres_30,Hombres_31,Hombres_32,Hombres_33,Hombres_34,Hombres_35,Hombres_36,Hombres_37,Hombres_38,Hombres_39,Hombres_40,Hombres_41,Hombres_42,Hombres_43,Hombres_44,Hombres_45,Hombres_46,Hombres_47,Hombres_48,Hombres_49,Hombres_50,Hombres_51,Hombres_52,Hombres_53,Hombres_54,Hombres_55,Hombres_56,Hombres_57,Hombres_58,Hombres_59,Hombres_60,Hombres_61,Hombres_62,Hombres_63,Hombres_64,Hombres_65,Hombres_66,Hombres_67,Hombres_68,Hombres_69,Hombres_70,Hombres_71,Hombres_72,Hombres_73,Hombres_74,Hombres_75,Hombres_76,Hombres_77,Hombres_78,Hombres_79,Hombres_80,Hombres_81,Hombres_82,Hombres_83,Hombres_84,Hombres_85,Hombres_86,Hombres_87,Hombres_88,Hombres_89,Hombres_90,Hombres_91,Hombres_92,Hombres_93,Hombres_94,Hombres_95,Hombres_96,Hombres_97,Hombres_98,Hombres_99,Hombres_100,Mujeres_0,Mujeres_1,Mujeres_2,Mujeres_3,Mujeres_4,Mujeres_5,Mujeres_6,Mujeres_7,Mujeres_8,Mujeres_9,Mujeres_10,Mujeres_11,Mujeres_12,Mujeres_13,Mujeres_14,Mujeres_15,Mujeres_16,Mujeres_17,Mujeres_18,Mujeres_19,Mujeres_20,Mujeres_21,Mujeres_22,Mujeres_23,Mujeres_24,Mujeres_25,Mujeres_26,Mujeres_27,Mujeres_28,Mujeres_29,Mujeres_30,Mujeres_31,Mujeres_32,Mujeres_33,Mujeres_34,Mujeres_35,Mujeres_36,Mujeres_37,Mujeres_38,Mujeres_39,Mujeres_40,Mujeres_41,Mujeres_42,Mujeres_43,Mujeres_44,Mujeres_45,Mujeres_46,Mujeres_47,Mujeres_48,Mujeres_49,Mujeres_50,Mujeres_51,Mujeres_52,Mujeres_53,Mujeres_54,Mujeres_55,Mujeres_56,Mujeres_57,Mujeres_58,Mujeres_59,Mujeres_60,Mujeres_61,Mujeres_62,Mujeres_63,Mujeres_64,Mujeres_65,Mujeres_66,Mujeres_67,Mujeres_68,Mujeres_69,Mujeres_70,Mujeres_71,Mujeres_72,Mujeres_73,Mujeres_74,Mujeres_75,Mujeres_76,Mujeres_77,Mujeres_78,Mujeres_79,Mujeres_80,Mujeres_81,Mujeres_82,Mujeres_83,Mujeres_84,Mujeres_85,Mujeres_86,Mujeres_87,Mujeres_88,Mujeres_89,Mujeres_90,Mujeres_91,Mujeres_92,Mujeres_93,Mujeres_94,Mujeres_95,Mujeres_96,Mujeres_97,Mujeres_98,Mujeres_99,Mujeres_100,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Total_26,Total_27,Total_28,Total_29,Total_30,Total_31,Total_32,Total_33,Total_34,Total_35,Total_36,Total_37,Total_38,Total_39,Total_40,Total_41,Total_42,Total_43,Total_44,Total_45,Total_46,Total_47,Total_48,Total_49,Total_50,Total_51,Total_52,Total_53,Total_54,Total_55,Total_56,Total_57,Total_58,Total_59,Total_60,Total_61,Total_62,Total_63,Total_64,Total_65,Total_66,Total_67,Total_68,Total_69,Total_70,Total_71,Total_72,Total_73,Total_74,Total_75,Total_76,Total_77,Total_78,Total_79,Total_80,Total_81,Total_82,Total_83,Total_84,Total_85,Total_86,Total_87,Total_88,Total_89,Total_90,Total_91,Total_92,Total_93,Total_94,Total_95,Total_96,Total_97,Total_98,Total_99,Total_100,Total Hombres,Total Mujeres,Total general
Centros Poblados y Rural Disperso,8441,8368,8551,8804,8790,8936,8865,8790,8704,8619,8529,8433,8343,8264,8178,8097,8028,7950,7872,7779,7678,7574,7455,7317,7180,7030,6884,6757,6657,6586,6494,6395,6289,6148,6009,5892,5806,5753,5753,5787,5831,5849,5851,5801,5726,5634,5557,5471,5379,5289,5233,5194,5150,5093,5029,4937,4835,4725,4613,4505,4365,4216,4057,3905,3753,3599,3453,3296,3131,2949,2782,2600,2444,2321,2229,2129,2037,1922,1773,1621,1478,1326,1204,1074,957,856,753,666,582,510,438,378,323,275,230,187,159,124,97,75,190,8081,8013,8198,8429,8415,8438,8373,8294,8218,8133,8045,7963,7872,7795,7715,7641,7568,7478,7379,7280,7196,7108,7029,6949,6869,6776,6670,6577,6516,6464,6392,6310,6213,6089,5936,5823,5728,5666,5644,5658,5667,5662,5635,5555,5448,5326,5213,5107,4983,4887,4813,4759,4703,4627,4551,4464,4353,4250,4151,4058,3948,3816,3685,3547,3409,3270,3131,2991,2847,2691,2546,2391,2255,2136,2047,1953,1871,1762,1627,1486,1350,1219,1100,981,882,777,690,610,534,466,403,347,298,247,217,176,144,119,97,71,217,16522,16381,16749,17233,17205,17374,17238,17084,16922,16752,16574,16396,16215,16059,15893,15738,15596,15428,15251,15059,14874,14682,14484,14266,14049,13806,13554,13334,13173,13050,12886,12705,12502,12237,11945,11715,11534,11419,11397,11445,11498,11511,11486,11356,11174,10960,10770,10578,10362,10176,10046,9953,9853,9720,9580,9401,9188,8975,8764,8563,8313,8032,7742,7452,7162,6869,6584,6287,5978,5640,5328,4991,4699,4457,4276,4082,3908,3684,3400,3107,2828,2545,2304,2055,1839,1633,1443,1276,1116,976,841,725,621,522,447,363,303,243,194,146,407,475951,449507,925458
Total,15129,15126,15608,16220,16343,16776,16797,16804,16800,16778,16756,16712,16679,16644,16602,16564,16534,16469,16386,16258,16118,15941,15749,15523,15295,15059,14814,14598,14414,14267,14045,13784,13506,13196,12890,12623,12416,12243,12105,11989,11888,11739,11581,11394,11190,10968,10774,10584,10418,10274,10200,10171,10120,10022,9889,9717,9518,9292,9052,8803,8496,8158,7808,7477,7148,6816,6495,6150,5767,5353,4977,4586,4263,4030,3859,3672,3508,3298,3034,2759,2507,2249,2022,1810,1604,1424,1250,1100,965,834,724,618,526,446,377,309,253,205,162,129,381,14441,14463,14938,15525,15653,15865,15899,15913,15931,15929,15923,15913,15896,15890,15883,15883,15868,15824,15751,15688,15624,15568,15505,15422,15333,15215,15062,14922,14807,14678,14498,14256,14009,13762,13500,13292,13134,13000,12871,12754,12646,12495,12326,12129,11916,11669,11430,11223,11019,10857,10754,10706,10638,10494,10328,10130,9894,9653,9417,9187,8897,8571,8237,7893,7557,7212,6879,6512,6121,5703,5306,4908,4572,4330,4140,3943,3763,3541,3262,2979,2696,2434,2186,1948,1745,1543,1360,1202,1046,910,789,678,578,490,413,345,282,230,187,144,477,29570,29589,30546,31745,31996,32641,32696,32717,32731,32707,32679,32625,32575,32534,32485,32447,32402,32293,32137,31946,31742,31509,31254,30945,30628,30274,29876,29520,29221,28945,28543,28040,27515,26958,26390,25915,25550,25243,24976,24743,24534,24234,23907,23523,23106,22637,22204,21807,21437,21131,20954,20877,20758,20516,20217,19847,19412,18945,18469,17990,17393,16729,16045,15370,14705,14028,13374,12662,11888,11056,10283,9494,8835,8360,7999,7615,7271,6839,6296,5738,5203,4683,4208,3758,3349,2967,2610,2302,2011,1744,1513,1296,1104,936,790,654,535,435,349,273,858,943703,955208,1898911
Cabecera,6601,6695,6782,7082,7446,7594,7882,7975,8065,8140,8211,8276,8328,8375,8422,8462,8492,8512,8496,8460,8404,8332,8259,8185,8102,8032,7953,7864,7779,7695,7615,7483,7326,7178,7013,6845,6693,6555,6398,6235,6082,5938,5782,5656,5535,5412,5281,5175,5087,5023,4969,4956,4958,4939,4885,4823,4738,4633,4511,4372,4230,4055,3867,3678,3498,3319,3137,2956,2754,2532,2304,2099,1901,1753,1646,1564,1479,1401,1306,1187,1070,965,848,760,670,582,511,440,385,327,284,239,200,167,142,118,90,77,62,50,177,6267,6372,6464,6770,7124,7278,7463,7571,7665,7760,7845,7921,8000,8065,8139,8208,8263,8305,8323,8336,8347,8371,8394,8410,8415,8418,8404,8361,8303,8241,8166,8043,7899,7778,7678,7553,7463,7376,7265,7127,7002,6879,6745,6643,6545,6439,6307,6189,6108,6020,5957,5932,5931,5903,5825,5732,5628,5491,5351,5209,5060,4887,4686,4483,4281,4078,3875,3664,3426,3177,2911,2667,2432,2261,2132,2031,1922,1827,1710,1570,1421,1280,1144,1021,901,803,699,611,531,457,394,337,284,245,196,168,138,110,87,73,246,12868,13067,13246,13852,14570,14872,15345,15546,15730,15900,16056,16197,16328,16440,16561,16670,16755,16817,16819,16796,16751,16703,16653,16595,16517,16450,16357,16225,16082,15936,15781,15526,15225,14956,14691,14398,14156,13931,13663,13362,13084,12817,12527,12299,12080,11851,11588,11364,11195,11043,10926,10888,10889,10842,10710,10555,10366,10124,9862,9581,9290,8942,8553,8161,7779,7397,7012,6620,6180,5709,5215,4766,4333,4014,3778,3595,3401,3228,3016,2757,2491,2245,1992,1781,1571,1385,1210,1051,916,784,678,576,484,412,338,286,228,187,149,123,423,469827,508213,978040
Centros Poblados y Rural Disperso,8392,8349,8276,8469,8729,8719,8872,8810,8735,8662,8575,8491,8397,8318,8237,8152,8074,8001,7912,7818,7701,7597,7475,7351,7219,7083,6951,6825,6723,6645,6596,6520,6428,6306,6166,6033,5919,5851,5835,5859,5895,5937,5944,5909,5841,5758,5665,5575,5470,5366,5273,5209,5175,5139,5092,5017,4927,4828,4720,4615,4503,4368,4213,4050,3894,3741,3586,3440,3295,3130,2942,2768,2574,2397,2267,2172,2064,1971,1850,1703,1546,1398,1257,1119,998,883,778,679,589,519,438,379,321,270,223,184,153,118,92,70,176,8035,7987,7934,8113,8358,8344,8379,8314,8240,8167,8083,8004,7917,7836,7757,7677,7601,7506,7400,7281,7188,7096,7022,6958,6889,6817,6736,6645,6581,6540,6494,6442,6349,6226,6078,5940,5821,5748,5722,5730,5735,5749,5729,5661,5561,5452,5335,5212,5086,4969,4867,4788,4739,4695,4629,4554,4459,4357,4253,4156,4071,3954,3826,3691,3547,3411,3265,3139,3006,2863,2707,2554,2388,2221,2103,2010,1916,1826,1715,1575,1438,1296,1169,1044,928,823,727,635,560,484,415,357,306,251,218,177,145,118,95,71,208,16427,16336,16210,16582,17087,17063,17251,17124,16975,16829,16658,16495,16314,16154,15994,15829,15675,15507,15312,15099,14889,14693,14497,14309,14108,13900,13687,13470,13304,13185,13090,12962,12777,12532,12244,11973,11740,11599,11557,11589,11630,11686,11673,11570,11402,11210,11000,10787,10556,10335,10140,9997,9914,9834,9721,9571,9386,9185,8973,8771,8574,8322,8039,7741,7441,7152,6851,6579,6301,5993,5649,5322,4962,4618,4370,4182,3980,3797,3565,3278,2984,2694,2426,2163,1926,1706,1505,1314,1149,1003,853,736,627,521,441,361,298,236,187,141,384,481544,455194,936738
Total,14993,15044,15058,15551,16175,16313,16754,16785,16800,16802,16786,16767,16725,16693,16659,16614,16566,16513,16408,16278,16105,15929,15734,15536,15321,15115,14904,14689,14502,14340,14211,14003,13754,13484,13179,12878,12612,12406,12233,12094,11977,11875,11726,11565,11376,11170,10946,10750,10557,10389,10242,10165,10133,10078,9977,9840,9665,9461,9231,8987,8733,8423,8080,7728,7392,7060,6723,6396,6049,5662,5246,4867,4475,4150,3913,3736,3543,3372,3156,2890,2616,2363,2105,1879,1668,1465,1289,1119,974,846,722,618,521,437,365,302,243,195,154,120,353,14302,14359,14398,14883,15482,15622,15842,15885,15905,15927,15928,15925,15917,15901,15896,15885,15864,15811,15723,15617,15535,15467,15416,15368,15304,15235,15140,15006,14884,14781,14660,14485,14248,14004,13756,13493,13284,13124,12987,12857,12737,12628,12474,12304,12106,11891,11642,11401,11194,10989,10824,10720,10670,10598,10454,10286,10087,9848,9604,9365,9131,8841,8512,8174,7828,7489,7140,6803,6432,6040,5618,5221,4820,4482,4235,4041,3838,3653,3425,3145,2859,2576,2313,2065,1829,1626,1426,1246,1091,941,809,694,590,496,414,345,283,228,182,144,454,29295,29403,29456,30434,31657,31935,32596,32670,32705,32729,32714,32692,32642,32594,32555,32499,32430,32324,32131,31895,31640,31396,31150,30904,30625,30350,30044,29695,29386,29121,28871,28488,28002,27488,26935,26371,25896,25530,25220,24951,24714,24503,24200,23869,23482,23061,22588,22151,21751,21378,21066,20885,20803,20676,20431,20126,19752,19309,18835,18352,17864,17264,16592,15902,15220,14549,13863,13199,12481,11702,10864,10088,9295,8632,8148,7777,7381,7025,6581,6035,5475,4939,4418,3944,3497,3091,2715,2365,2065,1787,1531,1312,1111,933,779,647,526,423,336,264,807,951371,963407,1914778
Cabecera,6498,6610,6719,6807,7112,7487,7637,7925,8026,8111,8193,8261,8326,8369,8418,8462,8489,8499,8491,8442,8386,8298,8224,8150,8080,8016,7954,7884,7798,7714,7628,7544,7416,7284,7141,6974,6805,6636,6460,6280,6114,5962,5827,5708,5599,5483,5360,5239,5149,5072,5008,4960,4939,4929,4896,4850,4781,4689,4577,4443,4305,4154,3979,3792,3603,3420,3238,3051,2854,2647,2428,2205,2010,1833,1689,1580,1499,1410,1331,1231,1116,1003,888,788,693,603,523,451,390,328,286,237,199,165,138,114,87,73,59,47,163,6163,6280,6386,6494,6796,7164,7315,7508,7616,7713,7809,7888,7970,8041,8110,8181,8230,8269,8283,8288,8275,8289,8305,8326,8350,8366,8377,8367,8313,8248,8189,8100,7993,7878,7782,7666,7546,7431,7305,7162,7031,6900,6790,6696,6613,6516,6402,6279,6181,6092,6007,5948,5917,5899,5861,5781,5692,5578,5439,5294,5139,4996,4816,4616,4417,4208,4010,3789,3566,3325,3071,2812,2578,2375,2199,2070,1962,1856,1758,1641,1495,1353,1205,1076,951,838,734,638,548,474,406,343,289,248,198,167,138,109,85,71,236,12661,12890,13105,13301,13908,14651,14952,15433,15642,15824,16002,16149,16296,16410,16528,16643,16719,16768,16774,16730,16661,16587,16529,16476,16430,16382,16331,16251,16111,15962,15817,15644,15409,15162,14923,14640,14351,14067,13765,13442,13145,12862,12617,12404,12212,11999,11762,11518,11330,11164,11015,10908,10856,10828,10757,10631,10473,10267,10016,9737,9444,9150,8795,8408,8020,7628,7248,6840,6420,5972,5499,5017,4588,4208,3888,3650,3461,3266,3089,2872,2611,2356,2093,1864,1644,1441,1257,1089,938,802,692,580,488,413,336,281,225,182,144,118,399,471749,510494,982243
Centros Poblados y Rural Disperso,8314,8296,8253,8193,8390,8651,8652,8811,8749,8685,8611,8530,8449,8366,8285,8204,8123,8040,7958,7852,7733,7613,7490,7365,7244,7113,6995,6883,6781,6703,6646,6615,6546,6438,6317,6184,6056,5959,5929,5936,5963,5997,6029,5999,5945,5868,5786,5679,5570,5453,5346,5244,5186,5161,5135,5075,5003,4916,4819,4719,4610,4502,4363,4203,4037,3879,3725,3571,3435,3292,3120,2925,2739,2524,2340,2209,2106,1996,1897,1777,1623,1462,1325,1168,1039,920,802,702,601,524,445,379,321,267,219,178,150,114,88,66,163,7967,7937,7902,7848,8038,8281,8279,8313,8255,8183,8113,8036,7953,7875,7792,7713,7632,7534,7423,7296,7183,7082,7003,6943,6889,6829,6769,6704,6642,6598,6564,6538,6475,6356,6209,6076,5933,5836,5800,5804,5804,5812,5812,5751,5662,5561,5457,5330,5188,5068,4946,4838,4764,4729,4693,4628,4545,4460,4358,4256,4168,4075,3963,3830,3689,3548,3404,3272,3153,3020,2879,2715,2550,2351,2186,2064,1972,1869,1777,1660,1524,1380,1242,1110,987,865,769,668,582,506,431,367,314,257,221,177,145,118,94,69,200,16281,16233,16155,16041,16428,16932,16931,17124,17004,16868,16724,16566,16402,16241,16077,15917,15755,15574,15381,15148,14916,14695,14493,14308,14133,13942,13764,13587,13423,13301,13210,13153,13021,12794,12526,12260,11989,11795,11729,11740,11767,11809,11841,11750,11607,11429,11243,11009,10758,10521,10292,10082,9950,9890,9828,9703,9548,9376,9177,8975,8778,8577,8326,8033,7726,7427,7129,6843,6588,6312,5999,5640,5289,4875,4526,4273,4078,3865,3674,3437,3147,2842,2567,2278,2026,1785,1571,1370,1183,1030,876,746,635,524,440,355,295,232,182,135,363,486657,460436,947093
Total,14812,14906,14972,15000,15502,16138,16289,16736,16775,16796,16804,16791,16775,16735,16703,16666,16612,16539,16449,16294,16119,15911,15714,15515,15324,15129,14949,14767,14579,14417,14274,14159,13962,13722,13458,13158,12861,12595,12389,12216,12077,11959,11856,11707,11544,11351,11146,10918,10719,10525,10354,10204,10125,10090,10031,9925,9784,9605,9396,9162,8915,8656,8342,7995,7640,7299,6963,6622,6289,5939,5548,5130,4749,4357,4029,3789,3605,3406,3228,3008,2739,2465,2213,1956,1732,1523,1325,1153,991,852,731,616,520,432,357,292,237,187,147,113,326,14130,14217,14288,14342,14834,15445,15594,15821,15871,15896,15922,15924,15923,15916,15902,15894,15862,15803,15706,15584,15458,15371,15308,15269,15239,15195,15146,15071,14955,14846,14753,14638,14468,14234,13991,13742,13479,13267,13105,12966,12835,12712,12602,12447,12275,12077,11859,11609,11369,11160,10953,10786,10681,10628,10554,10409,10237,10038,9797,9550,9307,9071,8779,8446,8106,7756,7414,7061,6719,6345,5950,5527,5128,4726,4385,4134,3934,3725,3535,3301,3019,2733,2447,2186,1938,1703,1503,1306,1130,980,837,710,603,505,419,344,283,227,179,140,436,28942,29123,29260,29342,30336,31583,31883,32557,32646,32692,32726,32715,32698,32651,32605,32560,32474,32342,32155,31878,31577,31282,31022,30784,30563,30324,30095,29838,29534,29263,29027,28797,28430,27956,27449,26900,26340,25862,25494,25182,24912,24671,24458,24154,23819,23428,23005,22527,22088,21685,21307,20990,20806,20718,20585,20334,20021,19643,19193,18712,18222,17727,17121,16441,15746,15055,14377,13683,13008,12284,11498,10657,9877,9083,8414,7923,7539,7131,6763,6309,5758,5198,4660,4142,3670,3226,2828,2459,2121,1832,1568,1326,1123,937,776,636,520,414,326,253,762,958406,970930,1929336
Cabecera,6399,6509,6636,6745,6837,7151,7530,7681,7977,8073,8164,8244,8313,8368,8413,8459,8490,8498,8480,8440,8371,8282,8191,8116,8044,7994,7936,7882,7815,7731,7644,7555,7476,7371,7245,7100,6932,6747,6539,6340,6158,5993,5852,5753,5650,5548,5430,5318,5214,5134,5059,4999,4942,4911,4888,4862,4808,4732,4633,4509,4376,4228,4077,3904,3717,3525,3338,3150,2946,2744,2540,2325,2112,1939,1768,1621,1516,1431,1340,1255,1157,1047,924,826,718,624,541,462,400,332,287,239,197,164,136,110,84,71,56,44,150,6062,6176,6295,6415,6520,6833,7200,7359,7553,7663,7762,7853,7938,8011,8086,8152,8203,8237,8248,8248,8228,8217,8221,8236,8263,8297,8322,8338,8316,8255,8193,8120,8047,7969,7881,7769,7658,7514,7359,7201,7065,6928,6811,6740,6666,6582,6479,6374,6271,6166,6080,5999,5932,5885,5857,5816,5741,5641,5525,5382,5225,5076,4924,4745,4548,4344,4139,3921,3690,3461,3216,2968,2718,2518,2311,2136,2000,1897,1786,1689,1564,1423,1275,1135,1003,886,766,669,573,489,420,354,294,252,200,168,137,108,85,68,226,12461,12685,12931,13160,13357,13984,14730,15040,15530,15736,15926,16097,16251,16379,16499,16611,16693,16735,16728,16688,16599,16499,16412,16352,16307,16291,16258,16220,16131,15986,15837,15675,15523,15340,15126,14869,14590,14261,13898,13541,13223,12921,12663,12493,12316,12130,11909,11692,11485,11300,11139,10998,10874,10796,10745,10678,10549,10373,10158,9891,9601,9304,9001,8649,8265,7869,7477,7071,6636,6205,5756,5293,4830,4457,4079,3757,3516,3328,3126,2944,2721,2470,2199,1961,1721,1510,1307,1131,973,821,707,593,491,416,336,278,221,179,141,112,376,473532,512565,986097
Centros Poblados y Rural Disperso,8234,8215,8196,8165,8113,8311,8579,8588,8745,8694,8629,8562,8482,8413,8327,8249,8170,8084,7991,7893,7761,7640,7501,7375,7253,7131,7018,6920,6832,6753,6698,6660,6635,6551,6444,6330,6202,6092,6034,6027,6038,6062,6086,6079,6033,5971,5893,5798,5672,5549,5430,5316,5219,5170,5155,5116,5060,4989,4906,4816,4712,4608,4495,4350,4187,4019,3861,3708,3565,3431,3280,3101,2894,2684,2463,2280,2141,2036,1922,1822,1694,1535,1384,1230,1084,958,835,723,620,534,449,383,320,267,216,174,145,111,84,63,152,7897,7867,7850,7813,7773,7960,8212,8211,8249,8194,8125,8062,7981,7907,7827,7745,7664,7561,7448,7316,7195,7073,6985,6920,6869,6824,6774,6729,6693,6653,6617,6603,6567,6477,6335,6203,6065,5944,5885,5879,5874,5879,5872,5831,5749,5659,5563,5449,5302,5167,5042,4915,4812,4752,4725,4690,4618,4543,4459,4358,4267,4169,4082,3965,3827,3688,3540,3410,3285,3167,3035,2885,2709,2510,2313,2145,2025,1923,1819,1719,1606,1462,1323,1178,1049,920,807,707,612,526,450,381,321,264,226,180,145,118,94,68,193,16131,16082,16046,15978,15886,16271,16791,16799,16994,16888,16754,16624,16463,16320,16154,15994,15834,15645,15439,15209,14956,14713,14486,14295,14122,13955,13792,13649,13525,13406,13315,13263,13202,13028,12779,12533,12267,12036,11919,11906,11912,11941,11958,11910,11782,11630,11456,11247,10974,10716,10472,10231,10031,9922,9880,9806,9678,9532,9365,9174,8979,8777,8577,8315,8014,7707,7401,7118,6850,6598,6315,5986,5603,5194,4776,4425,4166,3959,3741,3541,3300,2997,2707,2408,2133,1878,1642,1430,1232,1060,899,764,641,531,442,354,290,229,178,131,345,491375,465324,956699
Total,14633,14724,14832,14910,14950,15462,16109,16269,16722,16767,16793,16806,16795,16781,16740,16708,16660,16582,16471,16333,16132,15922,15692,15491,15297,15125,14954,14802,14647,14484,14342,14215,14111,13922,13689,13430,13134,12839,12573,12367,12196,12055,11938,11832,11683,11519,11323,11116,10886,10683,10489,10315,10161,10081,10043,9978,9868,9721,9539,9325,9088,8836,8572,8254,7904,7544,7199,6858,6511,6175,5820,5426,5006,4623,4231,3901,3657,3467,3262,3077,2851,2582,2308,2056,1802,1582,1376,1185,1020,866,736,622,517,431,352,284,229,182,140,107,302,13959,14043,14145,14228,14293,14793,15412,15570,15802,15857,15887,15915,15919,15918,15913,15897,15867,15798,15696,15564,15423,15290,15206,15156,15132,15121,15096,15067,15009,14908,14810,14723,14614,14446,14216,13972,13723,13458,13244,13080,12939,12807,12683,12571,12415,12241,12042,11823,11573,11333,11122,10914,10744,10637,10582,10506,10359,10184,9984,9740,9492,9245,9006,8710,8375,8032,7679,7331,6975,6628,6251,5853,5427,5028,4624,4281,4025,3820,3605,3408,3170,2885,2598,2313,2052,1806,1573,1376,1185,1015,870,735,615,516,426,348,282,226,179,136,419,28592,28767,28977,29138,29243,30255,31521,31839,32524,32624,32680,32721,32714,32699,32653,32605,32527,32380,32167,31897,31555,31212,30898,30647,30429,30246,30050,29869,29656,29392,29152,28938,28725,28368,27905,27402,26857,26297,25817,25447,25135,24862,24621,24403,24098,23760,23365,22939,22459,22016,21611,21229,20905,20718,20625,20484,20227,19905,19523,19065,18580,18081,17578,16964,16279,15576,14878,14189,13486,12803,12071,11279,10433,9651,8855,8182,7682,7287,6867,6485,6021,5467,4906,4369,3854,3388,2949,2561,2205,1881,1606,1357,1132,947,778,632,511,408,319,243,721,964907,977889,1942796
Cabecera,6305,6411,6535,6663,6777,6877,7193,7575,7734,8025,8128,8216,8297,8356,8414,8456,8491,8501,8481,8430,8371,8269,8177,8086,8013,7959,7914,7864,7812,7745,7660,7571,7487,7432,7332,7204,7058,6873,6650,6419,6218,6037,5883,5778,5696,5601,5496,5389,5295,5202,5121,5052,4984,4916,4871,4856,4822,4761,4677,4567,4443,4300,4152,4002,3827,3638,3441,3249,3044,2833,2634,2432,2228,2039,1871,1698,1557,1448,1361,1265,1182,1087,965,859,753,647,561,478,410,341,291,240,198,162,135,109,81,68,54,42,139,5964,6077,6192,6325,6442,6557,6868,7243,7403,7600,7713,7806,7904,7980,8057,8128,8176,8210,8217,8215,8189,8171,8152,8152,8174,8210,8253,8280,8283,8255,8200,8123,8066,8022,7971,7868,7760,7625,7441,7254,7103,6962,6839,6760,6710,6636,6546,6451,6366,6256,6154,6072,5984,5901,5844,5813,5777,5691,5588,5467,5312,5160,5003,4853,4677,4474,4272,4049,3819,3583,3348,3108,2870,2656,2450,2246,2065,1934,1826,1717,1610,1490,1342,1201,1058,935,809,699,601,511,434,366,304,256,204,170,137,107,84,69,216,12269,12488,12727,12988,13219,13434,14061,14818,15137,15625,15841,16022,16201,16336,16471,16584,16667,16711,16698,16645,16560,16440,16329,16238,16187,16169,16167,16144,16095,16000,15860,15694,15553,15454,15303,15072,14818,14498,14091,13673,13321,12999,12722,12538,12406,12237,12042,11840,11661,11458,11275,11124,10968,10817,10715,10669,10599,10452,10265,10034,9755,9460,9155,8855,8504,8112,7713,7298,6863,6416,5982,5540,5098,4695,4321,3944,3622,3382,3187,2982,2792,2577,2307,2060,1811,1582,1370,1177,1011,852,725,606,502,418,339,279,218,175,138,111,355,475247,514471,989718
Centros Poblados y Rural Disperso,8154,8134,8114,8106,8083,8033,8238,8513,8521,8687,8635,8576,8510,8443,8371,8287,8211,8127,8032,7923,7800,7666,7526,7382,7260,7135,7032,6937,6863,6799,6744,6707,6677,6636,6553,6454,6344,6235,6166,6130,6126,6136,6148,6136,6110,6056,5995,5903,5788,5650,5524,5398,5289,5201,5162,5135,5099,5044,4976,4901,4807,4708,4599,4480,4333,4169,4000,3843,3702,3560,3419,3261,3068,2836,2619,2400,2210,2070,1961,1845,1737,1601,1453,1286,1141,998,869,752,638,550,456,387,324,265,215,172,140,107,82,60,141,7827,7797,7779,7760,7736,7696,7893,8142,8146,8187,8133,8072,8004,7933,7857,7777,7693,7591,7473,7340,7213,7083,6974,6898,6843,6800,6765,6730,6715,6699,6668,6653,6630,6567,6452,6327,6189,6075,5992,5964,5948,5948,5938,5890,5828,5744,5660,5554,5420,5279,5140,5009,4888,4798,4747,4720,4679,4614,4541,4459,4368,4269,4175,4083,3961,3825,3679,3547,3423,3300,3182,3042,2879,2665,2470,2270,2105,1975,1873,1760,1664,1540,1401,1255,1114,977,859,742,647,552,468,397,334,270,231,184,147,119,93,68,187,15981,15931,15893,15866,15819,15729,16131,16655,16667,16874,16768,16648,16514,16376,16228,16064,15904,15718,15505,15263,15013,14749,14500,14280,14103,13935,13797,13667,13578,13498,13412,13360,13307,13203,13005,12781,12533,12310,12158,12094,12074,12084,12086,12026,11938,11800,11655,11457,11208,10929,10664,10407,10177,9999,9909,9855,9778,9658,9517,9360,9175,8977,8774,8563,8294,7994,7679,7390,7125,6860,6601,6303,5947,5501,5089,4670,4315,4045,3834,3605,3401,3141,2854,2541,2255,1975,1728,1494,1285,1102,924,784,658,535,446,356,287,226,175,128,328,495785,469977,965762
