Ano,Pocision,Indicador
2016,11.0,CAPACIDAD DE INVERSIÓN
2017,16.0,CAPACIDAD DE INVERSIÓN
2018,8.0,CAPACIDAD DE INVERSIÓN
2019,15.0,CAPACIDAD DE INVERSIÓN
2020,15.0,CAPACIDAD DE INVERSIÓN
2021,11.0,CAPACIDAD DE INVERSIÓN
2022,13.066666666666663,Prediccion
2023,13.180952380952363,Prediccion
2024,13.29523809523809,Prediccion
2025,13.40952380952379,Prediccion
