Ano,Pocision,Indicador
2016,32.0,GOBIERNO DIGITAL
2017,32.0,GOBIERNO DIGITAL
2018,32.0,GOBIERNO DIGITAL
2019,29.0,GOBIERNO DIGITAL
2020,23.0,GOBIERNO DIGITAL
2021,22.0,GOBIERNO DIGITAL
2022,20.33333333333303,Prediccion
2023,18.047619047618355,Prediccion
2024,15.761904761904589,Prediccion
2025,13.476190476189913,Prediccion
