ano,posicion,indicador
2016,29.0,ABSORCIÓN DEL CONOCIMIENTO
2017,29.0,ABSORCIÓN DEL CONOCIMIENTO
2018,31.0,ABSORCIÓN DEL CONOCIMIENTO
2019,31.0,ABSORCIÓN DEL CONOCIMIENTO
2020,31.0,ABSORCIÓN DEL CONOCIMIENTO
2021,32.0,ABSORCIÓN DEL CONOCIMIENTO
2022,32.600000000000136,prediccion
2023,33.200000000000045,prediccion
2024,33.799999999999955,prediccion
2025,34.40000000000009,prediccion
