Producto Interno Bruto departamental por habitante a precios corrientes
3912903.2896583816
4362011.026682593
5186747.900320211
5129321.435273318
5235479.873500519
5503257.383173957
5893041.689633735
6439646.852925022
6914460.222596752
7555705.16268134
7910948.353392801
8405653.60641373
8957509.291369945
9412987.508924132
10107440.711421339
9756341.979998715
11301872.065503797
