ano,posicion,indicador
2016,31.0,MUJERES EMPLEADAS CON FORMACIÓN DE ALTO NIVEL
2017,30.0,MUJERES EMPLEADAS CON FORMACIÓN DE ALTO NIVEL
2018,21.0,MUJERES EMPLEADAS CON FORMACIÓN DE ALTO NIVEL
2019,21.0,MUJERES EMPLEADAS CON FORMACIÓN DE ALTO NIVEL
2020,22.0,MUJERES EMPLEADAS CON FORMACIÓN DE ALTO NIVEL
2021,23.0,MUJERES EMPLEADAS CON FORMACIÓN DE ALTO NIVEL
2022,18.266666666666424,prediccion
2023,16.43809523809523,prediccion
2024,14.60952380952358,prediccion
2025,12.780952380952385,prediccion
