ano,posicion,indicador
2016,12.0,ÍNDICE DE ESPECIALIZACIÓN INDUSTRIAL
2017,12.0,ÍNDICE DE ESPECIALIZACIÓN INDUSTRIAL
2018,11.0,ÍNDICE DE ESPECIALIZACIÓN INDUSTRIAL
2019,11.0,ÍNDICE DE ESPECIALIZACIÓN INDUSTRIAL
2020,11.0,ÍNDICE DE ESPECIALIZACIÓN INDUSTRIAL
2021,10.0,ÍNDICE DE ESPECIALIZACIÓN INDUSTRIAL
2022,9.86666666666656,prediccion
2023,9.49523809523805,prediccion
2024,9.123809523809427,prediccion
2025,8.752380952380804,prediccion
