ano,posicion,indicador
2016,9.0,ENTORNO POLÍTICO
2017,15.0,ENTORNO POLÍTICO
2018,12.0,ENTORNO POLÍTICO
2019,7.0,ENTORNO POLÍTICO
2020,7.0,ENTORNO POLÍTICO
2021,14.0,ENTORNO POLÍTICO
2022,10.266666666666652,prediccion
2023,10.152380952380952,prediccion
2024,10.038095238095224,prediccion
2025,9.923809523809524,prediccion
