Ano,Pocision,Indicador
2016,18.0,ÍNDICE DE REGISTRO DE PROPIEDADES
2017,18.0,ÍNDICE DE REGISTRO DE PROPIEDADES
2018,5.0,ÍNDICE DE REGISTRO DE PROPIEDADES
2019,5.0,ÍNDICE DE REGISTRO DE PROPIEDADES
2020,5.0,ÍNDICE DE REGISTRO DE PROPIEDADES
2021,5.0,ÍNDICE DE REGISTRO DE PROPIEDADES
2022,-1.0666666666675155,Prediccion
2023,-4.038095238095593,Prediccion
2024,-7.00952380952458,Prediccion
2025,-9.980952380953568,Prediccion
