ano,posicion,indicador
2016,24.0,DESEMPEÑO LOGÍSTICO
2017,24.0,DESEMPEÑO LOGÍSTICO
2018,26.0,DESEMPEÑO LOGÍSTICO
2019,11.0,DESEMPEÑO LOGÍSTICO
2020,8.0,DESEMPEÑO LOGÍSTICO
2021,12.0,DESEMPEÑO LOGÍSTICO
2022,5.199999999999818,prediccion
2023,1.6857142857143117,prediccion
2024,-1.8285714285721042,prediccion
2025,-5.342857142857611,prediccion
