ano,Producto Interno Bruto por departamento A precios corrientes
2005,6023.182901513912
2006,6803.0054832472515
2007,8192.763953186093
2008,8202.446657467184
2009,8472.974975756277
2010,9010.53834604455
2011,9757.804504445952
2012,10779.266910289518
2013,11696.56314268667
2014,12912.7227901379
2015,13656.567300133398
2016,14661.594925601574
2017,15792.563628677657
2018,16800.14008514014
2019,18278.6899727221
2020,17843.83239529271
2021,20841.51103106598
